﻿Assessment Instrument,Assessment Instrument Version,Item ID,Question Text,Section Name,Skip Pattern Trigger,Lookback Period,Item Uses,Item Subsets,Assessment Response Codes,Response Text,Copyright Indicator
OASIS,E-012023,GG0170J1,"Walk 50 feet with two turns: Once standing, the ability to walk 50 feet and make two turns. - Admission Performance",Section GG. Functional Abilities and Goals,N,0,QM,ROC|SOC,^|-|01|02|03|04|05|06|07|09|10|11|88|90,"Blank (skip pattern)|Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0170J2,"Walk 50 feet with two turns: Once standing, the ability to walk 50 feet and make two turns. - Discharge Goal",Section GG. Functional Abilities and Goals,N,0,QM,ROC|SOC, -|01|02|03|04|05|06|07|09|10|11|88|90,"Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0170J3,"Walk 50 feet with two turns: Once standing, the ability to walk 50 feet and make two turns. - Discharge Performance",Section GG. Functional Abilities and Goals,N,0,QM,DC,^|-|01|02|03|04|05|06|07|09|10|11|88|90,"Blank (skip pattern)|Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0170J4,"Walk 50 feet with two turns: Once standing, the ability to walk 50 feet and make two turns. - Follow-up Performance",Section GG. Functional Abilities and Goals,N,0,QM,FU,^|-|01|02|03|04|05|06|07|09|10|11|88|90,"Blank (skip pattern)|Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0170K1,"Walk 150 feet: Once standing, the ability to walk at least 150 feet in a corridor or similar space. - Admission Performance",Section GG. Functional Abilities and Goals,N,0,QM,ROC|SOC,^|-|01|02|03|04|05|06|07|09|10|11|88|90,"Blank (skip pattern)|Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0170K2,"Walk 150 feet: Once standing, the ability to walk at least 150 feet in a corridor or similar space. - Discharge Goal",Section GG. Functional Abilities and Goals,N,0,QM,ROC|SOC, -|01|02|03|04|05|06|07|09|10|11|88|90,"Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0170K3,"Walk 150 feet: Once standing, the ability to walk at least 150 feet in a corridor or similar space. - Discharge Performance",Section GG. Functional Abilities and Goals,N,0,QM,DC,^|-|01|02|03|04|05|06|07|09|10|11|88|90,"Blank (skip pattern)|Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0170L1,"Walking 10 feet on uneven surfaces: The ability to walk 10 feet on uneven or sloping surfaces (indoor or outdoor), such as turf or gravel. - Admission Performance",Section GG. Functional Abilities and Goals,N,0,,ROC|SOC,^|-|01|02|03|04|05|06|07|09|10|11|88|90,"Blank (skip pattern)|Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0170L2,"Walking 10 feet on uneven surfaces: The ability to walk 10 feet on uneven or sloping surfaces (indoor or outdoor), such as turf or gravel. - Discharge Goal",Section GG. Functional Abilities and Goals,N,0,,ROC|SOC, -|01|02|03|04|05|06|07|09|10|11|88|90,"Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0170L3,"Walking 10 feet on uneven surfaces: The ability to walk 10 feet on uneven or sloping surfaces (indoor or outdoor), such as turf or gravel. - Discharge Performance",Section GG. Functional Abilities and Goals,N,0,,DC,^|-|01|02|03|04|05|06|07|09|10|11|88|90,"Blank (skip pattern)|Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by him/herself with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0170L4,"Walking 10 feet on uneven surfaces: The ability to walk 10 feet on uneven or sloping surfaces (indoor or outdoor), such as turf or gravel. - Follow-up Performance",Section GG. Functional Abilities and Goals,N,0,,FU,^|-|01|02|03|04|05|06|07|09|10|11|88|90,"Blank (skip pattern)|Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by him/herself with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0170M1,1 step (curb): The ability to go up and down a curb or up and down one step. - Admission Performance,Section GG. Functional Abilities and Goals,Y,0,,ROC|SOC, -|01|02|03|04|05|06|07|09|10|11|88|90,"Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0170M2,1 step (curb): The ability to go up and down a curb or up and down one step. - Discharge Goal,Section GG. Functional Abilities and Goals,N,0,,ROC|SOC, -|01|02|03|04|05|06|07|09|10|11|88|90,"Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0170M3,1 step (curb): The ability to go up and down a curb or up and down one step. - Discharge Performance,Section GG. Functional Abilities and Goals,Y,0,,DC, -|01|02|03|04|05|06|07|09|10|11|88|90,"Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0170M4,1 step (curb): The ability to go up and down a curb or up and down one step. - Follow-up Performance,Section GG. Functional Abilities and Goals,Y,0,,FU, -|01|02|03|04|05|06|07|09|10|11|88|90,"Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0170N1,4 steps: The ability to go up and down four steps with or without a rail. - Admission Performance,Section GG. Functional Abilities and Goals,Y,0,,ROC|SOC,^|-|01|02|03|04|05|06|07|09|10|11|88|90,"Blank (skip pattern)|Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0170N2,4 steps: The ability to go up and down four steps with or without a rail. - Discharge Goal,Section GG. Functional Abilities and Goals,N,0,,ROC|SOC, -|01|02|03|04|05|06|07|09|10|11|88|90,"Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0170N3,4 steps: The ability to go up and down four steps with or without a rail. - Discharge Performance,Section GG. Functional Abilities and Goals,Y,0,,DC,^|-|01|02|03|04|05|06|07|09|10|11|88|90,"Blank (skip pattern)|Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0170N4,4 steps: The ability to go up and down four steps with or without a rail. - Follow-up Performance,Section GG. Functional Abilities and Goals,N,0,,FU,^|-|01|02|03|04|05|06|07|09|10|11|88|90,"Blank (skip pattern)|Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
OASIS,E-012023,GG0170O1,12 steps: The ability to go up and down 12 steps with or without a rail. - Admission Performance,Section GG. Functional Abilities and Goals,N,0,,ROC|SOC,^|-|01|02|03|04|05|06|07|09|10|11|88|90,"Blank (skip pattern)|Not assessed/no information|Dependent - Helper does ALL of the effort. {Patient/Resident/Person} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident/person} to complete the activity.|Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.|Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.|Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident/person} completes activity. Assistance may be provided throughout the activity or intermittently.|Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident/person} completes activity. Helper assists only prior to or following the activity.|Independent - {Patient/Resident/Person} completes the activity by {him/herself/themself} with no assistance from a helper.|{Patient/Resident/Person} refused|Not applicable - Not attempted and the {patient/resident/person} did not perform this activity prior to the current illness, exacerbation, or injury.|Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)|Not applicable - {Patient/Resident/Person} does not usually do this activity.|Not attempted due to medical condition or safety concerns|Not attempted due to short-term medical conditions or safety concerns.",N
